Location,Country,Division,About1,About2,Description,AddressText,AddressTitle,Address
Arbor,Brazil,Modules and Polymers,"There are currently several fauna and flora centers in Guarulhos, among which the following stand out: Cantareira State Park (Cabuçu center), also known as the Cantareira State Reserve, which has approximately 2,550 hectares, is a vast and beautiful natural park and one of the largest areas of indigenous tropical flora and fauna in an urban area in the world. The Cabuçu Center, located in Guarulhos, has a visitors’ centre as well as access to waterfalls and hiking and biking trails.

Bosque Maia, located in the Jardim Maia district, is the largest urban park in Guarulhos; Parque Júlio Fracalanza, located in the Vila Augusta neighborhood, is an important neighborhood park in the region and has the Cidade Mirim, where children learn traffic rules and signs from specialized monitors and learn to practice citizenship.","SMRC annually promotes several charitable campaigns such as: donation of non-perishable food, winter clothes and books.","Guarulhos is a city located in the state of São Paulo, Brazil. With well over 1.2 million inhabitants, it is the second most populous city in the Brazilian state of São Paulo, the 13th most populous city in Brazil , and is also the most populous city in the country that is not a state capital. It forms part of the greater São Paulo metropolitan area. 

Guarulhos is mostly known for its international airport, the most important of South America and the main gateway to São Paulo as well as a major center of industry and services.It is an industrial power, that includes the most diverse types of industries, especially metal-mechanics, electronics, chemical-pharmaceuticals, food and textiles. Most of its labor force is employed in industry. ",Internship and apprentice programs.,,
Atibaia,Brazil,Modules and Polymers,"SMP Brazil is one of the leading automotive companies in the region. Our locations in in Curitiba and Atibaia have around 900 employees. The main products which are manufactured are bumpers, door panels and other parts with the highest of quality standards for the automotive industry. Join our team and help us to shape world class vehicles with our products.",,"Industry meets Paragliders
Atibaia is located 65 km from São Paulo on the axis of Rod Dom Pedro and Fernão Dias, and has become an attractive industrial area with about 140,000 inhabitants.
The State Natural Monument of Pedra Grande is one of the tourist attractions of Atibaia. There is a huge monolith on top of a hill which occasionally makes free flight, wing Delta, paragliding, climbing and abseiling possible. Atibaia is one of the 12 municipalities of São Paulo that are regarded as climatic resorts by the state of
São Paulo.",,,"Rodovia Dom Pedro I
KM 87 Edf Strauss Unidades 11 a 14 - Bairro Ponte Alta
12954-260 – Atibaia - SP
Brazil"
Beijing,China,"SMP Automotive Interiors (Beijing) Co., Ltd.",The SMP plant in Beijing was founded in 2014 and currently employs around 240 people. Join our team and help us to shape world class vehicles with our products.,NO,"The Capital of China
Beijing is China’s second largest city after Shanghai, and is recognized as the political, educational and cultural center of the People's Republic of China.
Due to its three thousand year old history, Beijing is home to a cultural heritage that is unique in the world. A total of approximately 21.5 million people live in the administrative region of Beijing. The list of attractions and activities in Beijing is extremely long and has something for every taste. For example, there are many historical interesting places such as the Great Wall, the Palace Museum, the Summer Palace and Temple of Heaven Park which are visited by tourists from all over the world every year. The 2008 Olympic Games and the 2022 Winter Olympic Games were successfully held in Beijing, which made Beijing world famous. ",,,"No. 101, 1st Floor
Building 6
Yard 2 Rongxing North 1st Street Beijing Economic-Technological Development Area
Beijing 100176
China"
Bengaluru,India,Vision Systems,,,Info available on SMR website under current location descriptions,,,
Białogard,PL,Wiring Harness,"The vicinity of Białogard is a paradise for anglers. The Parsęta River flows through Białogard, which together with its tributaries is a special place to which every year, during the sea trout fishing season, numerous crowds of lovers of this rare fish attract. The trout and grayling river is also the Liśnica, which also flows through the city and ends its course here. The tourist and sightseeing attractiveness is also increased by valuable architectural monuments.
An incentive to visit our small homeland is also its transport accessibility, resulting from its location in a place where important rail and road routes intersect. Białogard is an important road junction in the voivodeship road network. A provincial road (No. 163) runs through the city, in the direction of Kołobrzeg - Połczyn Zdrój - Czaplinek - Wałcz - Poznań and the Białogard - Koszalin road (No. 166). The national road Szczecin - Gdańsk (No. 6) runs 8 km north of the city.
Białogard is the largest railway junction in Central Pomerania. From here, you can get directly to virtually every larger town in our country.
Białogard is rich with numerous shops, supermarkets, pharmacies, medical centers, hospitals, schools, entertainment places for the whole family and sports centers.","Kabel-Technik-Polska every year supports numerous local initiatives regarding charity collections, promoting sport among children, education, integrating the local community, caring for health, etc. We are the main sponsors of many cultural and social events in our local community, such as: charity festivals, picnics historical, Charity runs, Sports regattas. We also provide material support to local kindergartens or, for example, the Volunteer Fire Department.","Białogard is a medium-sized city in the West Pomeranian Voivodeship with less than 24 thousand. residents. The city is located in the area of ​​the Białogard Plain, between very attractive geographical regions: the Słowiński Coast and the Drawskie Lakeland. In close proximity to the city, there are well-known health resorts of international renown: Kołobrzeg and Połczyn Zdrój. The Białogard Region has a number of unique values, including the only defensive walls in Białogard in such good condition and size, Gothic churches and many other natural values. The proximity of wonderful recreational areas and the richness of natural elements determine the tourist attractiveness of Białogard. Valuable historic complexes are a testimony to the great history of the city, its former wealth, position and importance for the entire Białogard region. As a poviat city, Białogard plays the role of the main economic, cultural, educational and administrative center for the neighboring communes.","Permanent cooperation with local universities in the internship program for students. We also organize an internship program, where students can gain professional experience and continue cooperation with our company during their studies. Our company gives many opportunities to establish business relationships thanks to participation in technical fairs, specialist training courses, which is associated with the acquisition of knowledge in an extraordinary field and numerous trips to interesting places.",,"Przemyslowa 1
78-200 Bialogard
Poland"
Böblingen,Germany,Modules and Polymers,"Several major car manufacturers such as Mercedes-Benz and Porsche are also based in this city.
In Böblingen, SMP operates a module centre where the final assembly of our products takes place. Join our team and help us shape world class vehicles with our products.",,"A town in the metropolitan region of Stuttgart
Böblingen has almost 50,000 inhabitants and is located approximately 20 kilometres from Stuttgart, the capital city of Baden-Württemberg. It is part of the metropolitan region of Stuttgart, which has a population of around 5.2 million.
Böblingen has an urban gallery, as well as several museums. The highest building in the town is the water tower, which has a height of around 30 metres. Its viewing platform can be reached by 151 steps. The nearby metropolis of Stuttgart is situated approximately 15 minutes away. Stuttgart offers a wide range of attractions such as museums, theatres, good restaurants and nightlife. ",,,"Herrenbergerstraße 120
71034 Boeblingen
Germany
"
Bötzingen,Germany,Modules and Polymers,"SMP is one of the largest employers in this attractive high-tech industrial cluster region. The SMP Headquarters/Engineering and its Production Site are located in Bötzingen, where around 1,500 people are employed. Join our team and help us to shape world class vehicles with our products.
SMP Bötzingen is an award-winning apprenticing company. Since 1956, more than 1200 young trainees have finished their 2-3 year programmes with extremely good results. The company has won the gold medal for high educational standards from the AGV Chemie employer’s association.","this should be stated generic-wise, we support and conduct different activities and organizations ","One of the sunniest spots in Germany
Bötzingen is located close to the University town of Freiburg, with many cultural, educational and commercial attractions.
The historical wine village of Bötzingen can be found nestling close to the famous volcanic ""Kaiserstuhl"" in the Rhine valley, between the Black Forest and the French Vosges, providing an unlimited number of leisure facilities within a small area. The area around Bötzingen is a paradise for outdoor activities such as skiing, hiking and mountain biking. Switzerland, France, Basel airport, and the famous mountain and ski resort ""Feldberg"" are also nearby.",n/a,,"Schlossmattenstrasse 7a
D-79268 Boetzingen
Germany"
Bötzingen,Germany,Technolgy & Industrial Solutions,"Bötzingen is centrally located in the border triangle of Germany, France and Switzerland. Also, if you are into outdoor activities, there are plenty of sporting activities to explore in and around the local area, such as: hiking, mountainbike, skiing or snowboarding.",n/a,"Bötzingen is a beautiful and idyllic village in the south of Germany. From Freiburg, Bötzingen is the gateway to the Kaiserstuhl nature garden, which is probably the warmest and sunniest area in Germany. The highest elevation in the district is the Eichelspitze at 520 meters. .",Apprenticeship programme available - work with local schools and colleges to recruit and train young people in the local area.,,"Schlossmattenstrasse 7a
D-79268 Boetzingen
Germany"
Bratislava,Slovakia,Modules and Polymers,Bratislava is an important centre for the automotive industry. Several car manufacturers have established their plants here. SMP operates a module centre in Bratislava where door panels and bumpers are assembled. Join our team and help us shape world class vehicles with our products.,,"Slovakia’s cultural and economic centre
Bratislava is the capital of Slovakia and has more than 420,000 inhabitants. It is situated in south-west Slovakia near the border triangle of Slovakia, Austria and Hungary on the Danube River.
As the political, cultural and economic centre of the country, Bratislava offers multiple attractions and places of interest such as the Slovak National Theatre, the National Museum, as well as a range of good restaurants. ",,,"Tehelna 18
84108 Devinska Nova Ves (Bratislava)
Slovakia"
Bratislava,Slovakia,Modules and Polymers,"In 2022, SMP opens a new module centre for bumpers assembly. As a green field project, it offers many interesting job opportunities. ","As a new project, each team member has a chance to shape its future, activities and initiatives which we will join.","Bratislava is situated south-west Slovakia close to Austria and Hungary. The capital of Slovakia is a political, cultural and economic centre of the country, it offers multiple attractions and places of interersts in the surroundings.","Due to its strategic location, this green field project has many business and job opportunities in the future.",,"Tehelna 18
84108 Devinska Nova Ves (Bratislava)
Slovakia"
Bruchköbel,Germany,Headquarter,,,"Bruchköbel is located in the western part of the Main-Kinzig district, about seven kilometres north of Hanau and appr. 20 km from Frankfurt /Main. The area around Bruchköbel is mostly arable land, with the Bruchköbel Forest to the south-east.

Bruchköbel with its core town and districts is an attractive destination for day trippers. Each district has its own unique flair and is well worth a visit. Numerous historic houses and churches in Bruchköbel and its districts bear witness to the town's long history. Bruchköbel's smallest district, Butterstadt, for example, is one of the oldest settlements in the Hanau area. The Romans already left their traces here.",Rotation Program,,
Bucheon,S Korea,Vision Systems,,"Participate in a charity event
at the end of the year",Info available on SMR website under current location descriptions,N/A,,"116, Jomaru-ro 427 beon-gil
Bucheon-si, Gyeonggi-do
Republic of Korea"
Bursa,Turkey,Vision Systems,"Hasanağa is an industrial countryside in Bursa, however, it is close to the city centre, sea and the mountain.  Since it is located in an urban city there are many sports and cultural activities available. Snowboarding during snowy season and going hiking is an advantage of Bursa.",,"Hasanağa is an industrial countryside located in Bursa and is known for it's nature. Bursa is a metropolitan city located on the banks of the Nilüfer River and on the slopes of Uludağ Mountain. It is a city which is rich with history, culture and nature.                                                                                 Bursa is one of the industrial centers of the counrty. It is the largest production centre of the Turkish automotive industry. Alongside automotive, Textile and food industries are equally strong in Bursa.",,,"Hasanağa
11. Cd. No: 2
16280 Organize Sanayi Bölgesi/Nilüfer/Bursa
Turkey"
Castellbisbal,Spain,Modules and Polymers,The SMP plant in Castellbisbal employs about 170 people. Join our team and help us to shape world class vehicles with our products.,See in attached PPT (in the mail),"Nice little town near the amazing city of Barcelona
SMP has three plants located in Martorell, Polinya and Castellbisbal in the province of Barcelona. Nowadays, Castellbisbal is mainly industrial. Besides of two museums dedicated to farming and vintage tractors, Castellbisbal has some monuments which are classified as a Cultural Asset of National Interest or local interest, including the Hermitage of Sant Juan del Benviure, which was built in 1040 and is located inside the premises of SMP Castellbisbal. Roman tombs were discovered inside the chapel. The main attraction of Martorell, Polinya and Castellbisbal in the province of Barcelona is undoubtedly located near the city of Barcelona, which is one of the world's top 10 most visited cities, according to Forbes. Barcelona is an open, cosmopolitan city, where social cohesion is a reality. The Catalan capital is also ranked among the best cities in the world for quality of life, safety and equality. It is a city that is easy to live in, a healthy city with a Mediterranean climate, green spaces and locally produced food. Living in Barcelona is the guarantee of having good quality of life. There are many neighbourhoods to explore in Barcelona, and there is something to do, visit and enjoy in each one: iconic buildings, markets, parks, treasures of the old city and so on. ",,,"c/Retorn s/n Pol.Ind. Can Estapé
08755 Castellbisbal (Barcelona)
Spain"
Changchun,China,Modules and Polymers,"CPAT manufactures bumpers, instrument panels and door panels.",,"Location of our joint venture CPAT
Since 2008, Changchun Peguform Automotive Plastics Technology Co. Ltd. (CPAT) is a Joint Venture of SMP located in Changchun in Northeastern China. ",,,"No. 399 Xiang Fan Third Road Economical & Technical Development Zone
130033 Changchun City
China"
Chennai,India,Vision Systems,,,Info available on SMR website under current location descriptions,,,
Chongqing,China,Vision Systems,,,Info available on SMR website under current location descriptions,,,"
99# Jiade Road Caijia Town
Beibei District
Chongqing
China"
Chungcheongbuk-do,S Korea,Vision Systems,,,Info available on SMR website under current location descriptions,,,"
170, Gwahaksaneop 1-ro, Oksan-myeon
Heungdeok-gu, Cheongju-si
Chungcheongbuk-do
Republic of Korea"
Cuprija,Serbia,Modules and Polymers,SMP in Cuprija is young plant located in Greenfield Industrial park “Dobricevo”. With a very modern work environment we desire to be a leader in automotive industry in Serbia. Our motto is: One way. One goal. One team. Join our team and help us to shape world class vehicles with our products.,,"City of bridges, a city of music, a city of athletics, in a word, ĆUPRIJA
Cuprija is city of rich spiritual heritage of the medieval Serbian through Ravanica monastery. The city with long industrial development history, located in central Serbia, 147 km from Belgrade and 92 km from Nis.
Cuprija is a town with two rivers, Velika Morava and Ravanica. Very meaning of the word “Cuprija” is “bridge”. Cuprija has got an attractive geographic position, connecting western and southeast Europe with highway Corridor 10.
During the period between 1960 and 1990, Cuprija was an important industrial and economic center. Unfortunately, the majority of workers lost their jobs due to financial crisis in 1990’s and failed privatizations. Cuprija area is recognized as a region being very receptive to foreign direct investments. With the construction of Industrial park “Dobricevo”, Cuprija is also recognized as central industrial zone for the District of Pomoravlje.",,,"
Despotovacki put 120
35230 Cuprija
Serbia"
Curitiba,Brazil,Modules and Polymers,"SMP Brazil is one of the leading automotive companies in the region, and we have about 900 employees in our locations in Curitiba and Atibaia. The main products which are manufactured are bumpers, door panels and other parts with the highest of quality standards for the automotive industry. Join our team and help us to shape world class vehicles with our products.","SMP has the CSR Program called Motherson Social. Through our volunteer committee, we seek to meet the main needs of our local community and promote monthly actions. At the beginning of the year, we set up a calendar of all actions and throughout the year, we apply these activities. Our volunteer committee also invites our family members to be part of the actions, as we believe we can engage everyone and make bigger changes.
Our program also has the objective of build a team of volunteers who are passionate about what they do, who are proud of the actions and committed to always thinking about new actions.","Paradise for both metropolitan and nature lovers
Curitiba is the capital of the state of Paraná, approximately 408 km from Sao Paulo. It has about 2 million inhabitants, and is the eighth most populous metropolitan region in Brazil.
Amongst the woods and parks, Curitiba has about 30 green areas, with the Botanical Garden and the Arame Opera Theater, the main icons of Curitiba. The City received the award for the most sustainable city in the world in 2010, by the Globe Award Sustainable City and a reference in public transport and urban mobility. Curitiba is also the economic centre of the state of Paraná, one of the most prosperous economic regions in the country.","For three consecutive years, Curitiba integrates the list of the 21 smartest communities in the world for 2021 by the Intelligent Community Forum (ICF). The capital of Paraná is still the only city in South America to appear in the ranking that recognizes governance actions for economic prosperity, social health and cultural wealth, which together make a strong and resilient community.",,"
Aos cuidados de
Rua Nicaragua, 847
82510-170 - Curitiba 
Brasil"
Czaplinek,PL,Wiring Harness,"The West Pomeranian Voivodeship is a naturist paradise. All locations of our company are situated among nearby lakes and forests, among nature monuments and nature reserves. It is a perfect place to relax after work - bicycle paths, forests full of mushrooms, beaches, lakes, rivers, national parks, canoeing trips. Despite such a close proximity to nature, the Westpomeranian Region is well connected - with access to nearby shops, schools and medical facilities.

","Kabel-Technik-Polska every year supports numerous local initiatives regarding charity collections, promoting sport among children, education, integrating the local community, caring for health, etc. We are the main sponsors of many cultural and social events in our local community, such as: charity festivals, picnics historical, Charity runs, Sports regattas. We also provide material support to local kindergartens or, for example, the Volunteer Fire Department.","Czaplinek, Drawsko Pomorskie and Białogard are three cities located in the West Pomeranian Voivodeship in Poland. The West Pomeranian Voivodeship is located in northwest Poland on the Baltic Sea. According to data from 1 January 2014, the area of the voivodeship is 22 892.48 km². Complement it with the sea waters of the inner Polish part of the Szczecinski Lagoon and the reservoirs around the strait: Dziwna and Świna, which are part of the Baltic Sea. The northern border of the voivodeship is a designated shoreline over the Pomeranian Bay and it reaches the Baltic Sea further - the border is 185 km long. Several dozen rivers flow through the voivodeship, including the second longest river in the country: the Odra entirely within the territory of the voivodeship are: Rega, Parsęta, Ina and Płonia. The proximity of the sea, water resources and a large area of forests create a temperate climate, characterized by significant air humidity and a predominance of western and north-western winds. The climate at the seaside can be described as temperate warm sea, while the climate inland as temperate warm transitional. In the West Pomeranian Voivodeship there are 2 national parks: Woliński, and half - Drawieński, 7 landscape parks: Barlinecko-Gorzowski (partially), Cedyński, Drawski, Iński, Lower Oder Valley Landscape Park, partially the ""Ujście Warty"" Landscape Park and the Szczecin Landscape Park ""Puszcza Bukowa"". In addition, there are 114 nature reserves of various types in the voivodeship, incl. floristic, forest, peat bog, landscape, bird and the Wkrzańska Primeval Forest, the Goleniów Primeval Forest and the Bukowa Primeval Forest. The total area of the areas making up the national system of protected areas is approximately 20% of the total area of the voivodship.","Permanent cooperation with local universities in the internship program for students. We also organize an internship program, where students can gain professional experience and continue cooperation with our company during their studies. Our company gives many opportunities to establish business relationships thanks to participation in technical fairs, specialist training courses, which is associated with the acquisition of knowledge in an extraordinary field and numerous trips to interesting places.",,"Plawienska 5
78-550 Czaplinek
Poland"
Czaplinek,PL,Wiring Harness,"Czaplinek is a small, charming town. A base for tourists. A place where you can find lakes, forests, parks. You can organize canoeing trips, bonfires by the lake. There is a settlement of the old Slavs, perfect places for the whole family, a rope park and many other attractions in the area for the whole family, but also for lonely trips to the bosom of nature. Czaplinek has many shops and pharmacies in the vicinity. There are two medical centers, schools and kindergartens. In czaplinek you will also find the railway and bus stations, thanks to which you can get to larger towns.","Kabel-Technik-Polska every year supports numerous local initiatives regarding charity collections, promoting sport among children, education, integrating the local community, caring for health, etc. We are the main sponsors of many cultural and social events in our local community, such as: charity festivals, picnics historical, Charity runs, Sports regattas. We also provide material support to local kindergartens or, for example, the Volunteer Fire Department.","a city in north-western Poland, in the West Pomeranian Province, in the Drawsko County, the seat of the urban-rural commune of Czaplinek. Located between the lakes Drawsko and Czaplino.
According to data from December 31, 2012, the city had 7,200 inhabitants. zaplinek is nowadays a tourist destination. There is an accommodation base and a large sailing marina. Rafting on the Drawa River begins in Czaplinek. At ul. Drahimska, at Lake Drawsko, a summer inland bathing area has been designated. There is also an official, guarded bathing area on Lake Czaplino. Moreover, there is a rope park in Czaplinek","Permanent cooperation with local universities in the internship program for students. We also organize an internship program, where students can gain professional experience and continue cooperation with our company during their studies. Our company gives many opportunities to establish business relationships thanks to participation in technical fairs, specialist training courses, which is associated with the acquisition of knowledge in an extraordinary field and numerous trips to interesting places.",,"Plawienska 5
78-550 Czaplinek
Poland"
Dammerie les Lys,France,Vision Systems,,,Info available on SMR website under current location descriptions,,,
Derby,UK,Wiring Harness,"Conveniently located near to the city centre and attractions with well connected transport links. 

As well as the Peak District on your doorstep,  Derby is also home to the 'Derby Arena' - a multi-use indoor arena and velodrome at Pride Park and is open to all level of cyclists from budding novices to elite athletes. There are plenty of sporting activities to explore in and around the local area. The city is a hub for cultural experiences with galleries, museums and performing arts. Derby University, which is the only University in Derbyshire offers industry-relevant, expert teaching, from foundation and undergraduate degrees to postgraduate study and research.",Committed to dedicate 100 hours per month and £5k per annum to CSR causes (as nominated by our workforce),"Derby is a city in Derbyshire, England. It is located on the banks of the River Derwent in the south of the county. Derby is the UK's most central city, a great place for culture and a great base to explore nearby Peak District National Park.  

Derby grew rapidly in the industrial era and with the arrival of the railways in the 19th Century, Derby became a centre of the British rail industry. Over the years, Derby has become famous for two key industries - railway and aerospace attracting talent with a background in Science, Technology, Engineering and Maths (STEM). 


",Rail related parts have been manufactured on our site for over 180 years. Operating Line side deliveries just in time (JIT) to the customer. Offsite Support Team. ,,
